WEEK,REGION,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,ID,CENTROID_LATITUDE,CENTROID_LONGITUDE
2021-12-11,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,1,1271.0,Political violence,1535.0,0.7197,36.0185
2022-01-22,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,1267.0,Political violence,1535.0,0.7197,36.0185
2022-01-29,Eastern Africa,Kenya,Baringo,Battles,Armed clash,2,0,4455.0,Political violence,1535.0,0.7197,36.0185
2022-03-05,Eastern Africa,Kenya,Baringo,Battles,Armed clash,2,1,3989.0,Political violence,1535.0,0.7197,36.0185
2022-04-30,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,1,4975.0,Political violence,1535.0,0.7197,36.0185
2022-05-28,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,2,1179.0,Political violence,1535.0,0.7197,36.0185
2022-08-06,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,1827.0,Political violence,1535.0,0.7197,36.0185
2022-10-08,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,452.0,Political violence,1535.0,0.7197,36.0185
2022-12-31,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,8866.0,Political violence,1535.0,0.7197,36.0185
2023-01-07,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,461.0,Political violence,1535.0,0.7197,36.0185
2023-01-21,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,2,6724.0,Political violence,1535.0,0.7197,36.0185
2023-02-04,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,4068.0,Political violence,1535.0,0.7197,36.0185
2023-02-18,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,,Political violence,1535.0,0.7197,36.0185
2023-03-04,Eastern Africa,Kenya,Baringo,Battles,Armed clash,2,0,4832.0,Political violence,1535.0,0.7197,36.0185
2023-03-11,Eastern Africa,Kenya,Baringo,Battles,Armed clash,2,0,4832.0,Political violence,1535.0,0.7197,36.0185
